"Mainstream National Schools 2009-2010 School Year.",,,,,,,,
"Schools in red have since closed",,,"Enrolment as on 30th September 2009",,,,,
"COUNTY","Roll No.","SCHOOL","ADDRESS 1","ADDRESS 2","TEL. NO.","GIRLS","BOYS","TOTAL"
"CAVAN","05627W","BAILIEBORO MODEL N S","BAILIEBORO","CO CAVAN",429665689,42,52,94
"CAVAN","06998Q","S N TULACH A MHILE","CORLOUGH","BELTURBET",499523445,23,32,55
"CAVAN","08143P","S N MHUIRE","MUILEANN LARAINN","SWANLINBAR",499521613,33,37,70
"CAVAN","08453H","S N CRUABANAI","CRUABANAI","CO CAVAN",494362202,66,82,148
"CAVAN","08490N","ST CLARES PRIMARY SCHOOL","CAVAN","CO CAVAN",494332671,363,150,513
"CAVAN","08948L","MILLTOWN N S","BELTURBET","CO CAVAN",499522802,32,38,70
"CAVAN","10146K","CORLISS N S","KILLESHANDRA","CO CAVAN",494334888,13,13,26
"CAVAN","11205F","KILLESHANDRA National School ( C of","KILLESHANDRA","CO CAVAN",494334822,33,23,56
"CAVAN","11409V","BALLYCONELL CENTRAL N S","BALLYCONNELL","CO CAVAN",499526055,10,14,24
"CAVAN","11517B","CAVAN 1 N S","CAVAN","CO CAVAN",494362122,35,45,80
"CAVAN","11541V","DROMAILI S N","CAVAN","CO CAVAN",494332011,100,148,248
"CAVAN","11590L","ARVA CHURCH OF IRELAND N S","ARVA","CO CAVAN",494335610,4,4,8
"CAVAN","12099O","BILLIS N S","NEW INN","BALLYJAMESDUFF",498544653,30,43,73
"CAVAN","12312L","DARLEY N S","COOTEHILL","CO CAVAN",495556055,26,40,66
"CAVAN","12713G","CORRATOBER N S","ARVA","CO CAVAN",494335836,9,13,22
"CAVAN","13203L","ST PATRICKS MXD N S","GOWNA","CO CAVAN",4383514,48,47,95
"CAVAN","13271F","FAIRGREEN N S","BELTURBET","CO CAVAN",499522803,13,15,28
"CAVAN","14073G","CASTLETARA N S","BALLYHAISE","CO CAVAN",494338225,29,56,85
"CAVAN","14211P","S N LATHRACH 2","KINGSCOURT","CO CAVAN",429667744,52,55,107
"CAVAN","14320U","CORLEA N S","KINGSCOURT","CO CAVAN",429667338,9,12,21
"CAVAN","14336M","SEARCOG I N S","SHERCOCK","VIA DUNDALK",429669593,81,78,159
"CAVAN","14399N","KILLYGARRY N S","KILLYGARRY","CO CAVAN",494362144,78,74,152
"CAVAN","14732U","SCOIL BHRIDE","MOUNTNUGENT","CO CAVAN",498540390,74,58,132
"CAVAN","15120R","KILLYCONNAN N S","STRADONE","CO CAVAN",494330540,59,54,113
"CAVAN","15452T","KILDALLON N S","ARDLOUGHER","BELTURBET",499526721,23,27,50
"CAVAN","15502I","KILLINKERE N S","VIRGINIA","CO CAVAN",498547611,98,92,190
"CAVAN","16057S","CONVENT OF MERCY N S","BELTURBET","CO CAVAN",499522992,108,50,158
"CAVAN","16083T","VIRGINIA MXD N S","VIRGINIA","CO CAVAN",498547035,176,203,379
"CAVAN","16093W","BALLYCONNELL MXD N S","BALLYCONNELL","CO CAVAN",499526673,65,61,126
"CAVAN","16316Q","ST MARYS N S","ARVA","CO CAVAN",494335560,59,67,126
"CAVAN","16390F","SCOIL BHRIDE","KILLSHANDRA","CO CAVAN",494334886,52,49,101
"CAVAN","16520P","ST MARY'S N.S.","DRUNG","BALLYHAISE",495553144,31,30,61
"CAVAN","16767D","CORONEA N S","ARVA","CO CAVAN",494335780,15,20,35
"CAVAN","16921K","S N BEAL ATHA NA NEACH","BALLINAGH","CO CAVAN",494337546,87,109,196
"CAVAN","16959M","S N CORRABHA","GLANGEVLIN N S","CARRICK ON SHANNON",719643290,15,24,39
"CAVAN","17230L","SCOIL NAOMH BRID","CILL UACHTAIR,","AN CNOC RUA,",4755222,34,33,67
"CAVAN","17240O","S N TAMHNACH DHUIBH","BAILIEBORO","CO CAVAN",429660368,44,49,93
"CAVAN","17326B","S N NAOMH FEIDHLIM","CAVAN","CO CAVAN",494332366,3,186,189
"CAVAN","17440W","S N NAOMH MAODHOG","CILL NA BHEART","BEAL ATHA CONAILL",499526562,34,50,84
"CAVAN","17479D","SCOIL MHUIRE","LACKEN","BALLINAGH",494337822,42,38,80
"CAVAN","17531C","BAILE NA MONA","BAILIEBORO","CO CAVAN",429665960,51,45,96
"CAVAN","17601U","S N DOIRE NA CEISE","AN MHUINCHILLE","CO CAVAN",495552220,81,68,149
"CAVAN","17625L","CNOC AN TEAMPAILL","VIRGINIA","CO CAVAN",498547081,69,94,163
"CAVAN","17630E","S N MAODHOG","CNOC BRIGHDE","BAILIEBORO",429660244,25,30,55
"CAVAN","17780A","BALLYHAISE N S","CAVAN","CO CAVAN",494338411,93,59,152
"CAVAN","17990L","S N DROM CNAMH","DROM CNAMH","CO CAVAN",494361496,14,23,37
"CAVAN","18059J","BAILIEBORO N S","BAILIEBORO","CO CAVAN",429665242,150,136,286
"CAVAN","18127A","S N MHUIRE","BELTURBET","CO CAVAN",499522906,0,68,68
"CAVAN","18340A","S N PADRAIG","LIOS BO DUIBHE","AN MHUINCHILLE",495553407,24,29,53
"CAVAN","18346M","S N GREACH RATHAIN","BEAL TAIRBEIRT","CO CAVAN",499526502,35,35,70
"CAVAN","18355N","KNOCKNAGILLA N S","AN SRAITH DOIMHIN","CO CAVAN",494330549,50,36,86
"CAVAN","18393V","S N CILLIN","CROS RIABHACH","MULLACH",498547800,34,29,63
"CAVAN","18518P","S N CORR LORGAN","CABHAN","CO CAVAN",494361718,54,63,117
"CAVAN","18564W","S N LEITIR","CILL CATHLAIGH","CO CAVAN",429665605,68,73,141
"CAVAN","18833A","S N LATHRACH","LATHRACH","SRAITH AN DOMHAIN",494330522,66,68,134
"CAVAN","18857O","S N CARRAIG A BRUIS","VIRGINIA","CO CAVAN",498548165,73,75,148
"CAVAN","19202Q","DRUMKILLY NS","KILNALECK","CO CAVAN",494336517,79,66,145
"CAVAN","19285A","KILL N S","COOTEHILL","CO CAVAN",495553149,34,28,62
"CAVAN","19322D","KILMORE CENTRAL N S","KILMORE CENTRAL N S","KILMORE",494332661,17,20,37
"CAVAN","19326L","BUTLERSBRIDGE NS","CAVAN","CO CAVAN",494361730,59,72,131
"CAVAN","19363R","MULLAHORAN CENTRAL N S","KILCOGY","VIA LONGFORD",4381100,78,59,137
"CAVAN","19378H","BALLYNARRY N S","BALLYHEELAN","KILNALECK",494336833,53,63,116
"CAVAN","19418Q","CASTLERAHAN CENTRAL NS","CASTLERAHAN","BALLYJAMESDUFF",498544201,75,65,140
"CAVAN","19432K","CROSSKEYS CENTRAL N S","CROSSKEYS","CO CAVAN",494336704,69,68,137
"CAVAN","19527V","CABRA CENTRAL N S","CABRA","KINGSCOURT",429667194,27,30,57
"CAVAN","19568M","ST PATRICKS","BRUSKEY CARRIGANS PO","BALLINAGH",494337836,36,25,61
"CAVAN","19596R","CROSSERLOUGH N S","CROSSERLOUGH","CO. CAVAN",494336128,69,60,129
"CAVAN","19608V","ST KILLIANS N S","MULLAGH","CO CAVAN",469242222,160,186,346
"CAVAN","19679V","S N AODHAIN NAOFA","AN BABHUN BUI","BEAL TAIRBIRT",499523544,27,47,74
"CAVAN","19871N","ST PATRICKS N S","KILLINAGH","BLACKLION  VIA SLIGO",719853332,45,36,81
"CAVAN","19921C","DRUNG NO 2 NS","DRUNG","CO CAVAN",494338317,17,16,33
"CAVAN","19983B","ST CLARES NS","BALLYJAMESDUFF","CO CAVAN",498544908,204,177,381
"CAVAN","20026G","Gaelscoil Bhreifne","Halla na nGasóga","Bóthar an Iarnróid",494362402,19,34,53
"CAVAN","20134J","ST MICHAELS N. S.","STRADONE","CAVAN",494330096,28,32,60
"CAVAN","20172R","ST JOSEPHS N S","KINGSCOURT","CO CAVAN",429667528,179,172,351
"CAVAN","20277I","St Michaels National School","Cootehill","Co Cavan",,87,94,181
"CLARE","02439G","S N MHUIRE","FEAKLE","CO CLARE",61924116,39,44,83
"CLARE","03898U","TOONAGH N S","TOONAGH","ENNIS",656820143,52,34,86
"CLARE","03928D","MULLACH N S","MULLACH","ENNIS",657087472,22,32,54
"CLARE","04548V","SCOIL SEANAIN NAOFA","CLUAINLARA","CO AN CHLAIR",61354299,154,204,358
"CLARE","04919H","CRATLOE N S","CRATLOE","CO CLARE",61357111,138,139,277
"CLARE","05253H","O CALLAGHANS MILLS N S","OCALLAGHANS MILLS","CO CLARE",656835730,27,23,50
"CLARE","07315N","HOLY FAMILY SNR","ENNIS","CO CLARE",656828893,208,160,368
"CLARE","08241P","SCROPUL N S","MULLAGH","ENNIS",657087606,3,6,9
"CLARE","09390O","ROCKMOUNT MIXED N S","MILTOWN MALBAY","CO CLARE",657084599,18,25,43
"CLARE","09425H","RINEEN N S","MILTOWN MALBAY","CO CLARE",657084534,14,15,29
"CLARE","10191P","S N NA CORADH","MULLACH","INIS",657087592,6,11,17
"CLARE","10568N","S N CUIBHREANN","CILL CHAOI","CO AN CHLAIR",659057097,12,15,27
"CLARE","10763L","BOSTON N S","TUBBER","GORT",91633211,9,5,14
"CLARE","10886E","TUBBER N S","TUBBER","CO CLARE",91633230,12,9,21
"CLARE","11234M","CLOHANBEG N S","CREE","KILRUSH",657087540,15,22,37
"CLARE","11714D","BANSHA N S","KILKEE","CO CLARE",659056998,20,34,54
"CLARE","11765U","DOONBEG N S","DOONBEG","CO CLARE",659055311,20,18,38
"CLARE","11990E","BODYKE N S","BODYKE","CO CLARE",61921285,16,13,29
"CLARE","12633I","COOLMEEN N S","KILMURRAY MCMAHON","KILRUSH",656832320,17,11,28
"CLARE","12848G","DOONAHA N S","KILKEE","CO CLARE",659057084,8,4,12
"CLARE","13351D","CLONIGULANE N S","KILMIHIL","KILRUSH",659050463,9,4,13
"CLARE","13379C","S N PADRAIG NFA FANOIR","BALLYVAUGHAN","CO CLARE",657076197,6,8,14
"CLARE","13418J","BALLYEA MIXED N S","SN  BAILE AODHA","DARRAGH",656838144,95,88,183
"CLARE","13478E","DROIMDIOGACH N S","KILLMURRY MC MAHON","CO CLARE",659053008,17,18,35
"CLARE","13625O","KILNAMONA N S","ENNIS","CO CLARE",656822986,47,53,100
"CLARE","13730L","CLOHANES N S","MULLACH","CO CLARE",657087533,20,13,33
"CLARE","13738E","BURRANE N S","KILRUSH","CO CLARE",659053144,22,42,64
"CLARE","13804O","S N NA CRANNAIGHE","CRANNACH","CILL ROIS",656832345,13,13,26
"CLARE","13826B","KILMIHIL N.S.","KILMIHIL","ENNIS",659050366,62,54,116
"CLARE","13870E","KILKISHEN N S","SN MUIRE NA D CHOMHAIRL","CILL  CHISIN",61367289,60,48,108
"CLARE","13876Q","MOVEEN N S","KILKEE","CO CLARE",659056248,31,34,65
"CLARE","13942D","S N CILL MUIRE","INIS","CO CLARE",61367623,63,72,135
"CLARE","14111L","CROSS N S","KILRUSH","CO CLARE",659058244,16,12,28
"CLARE","14468G","KILMALEY N S","ENNIS","CO CLARE",656839360,56,47,103
"CLARE","14571W","TOMGRANEY N S","TOMGRANEY","LIMERICK",61921550,46,37,83
"CLARE","14622N","EIDHNEACH N S","INIS","CO CLARE",656836778,50,71,121
"CLARE","14757N","S N MHAINISTIR CHUINCHE","QUIN","CO CLARE",656825785,118,105,223
"CLARE","14830U","BAREFIELD MIXED N S","ENNIS","CO CLARE",656820303,168,195,363
"CLARE","15042A","ENNIS N S","ENNIS","CO CLARE",656829158,330,307,637
"CLARE","15221A","ANNAGH N S","MILTOWN MALBAY","CO CLARE",657084850,27,41,68
"CLARE","15279I","CLOONEY N S","CLOONEY NS","TULLA",656835806,35,39,74
"CLARE","15301V","KILDYSART N S","ENNIS ROAD","KILDYSART",656832477,65,60,125
"CLARE","15327Q","CAHERMURPHY N S","KILMIHIL","CO CLARE",659050460,10,10,20
"CLARE","15350L","STONEHALL N S","NEWMARKET ON FERGUS","CO CLARE",61362863,62,54,116
"CLARE","15370R","KILLALOE BOYS N S","KILLALOE","CO CLARE",61376407,0,98,98
"CLARE","15408Q","CONNOLLY N S","ENNIS","CO CLARE",656839350,25,28,53
"CLARE","15968I","BALTARD N S","BALTARD","DOONBEG",659055244,4,1,5
"CLARE","15981A","LAKYLE N S","WHITEGATE VIA LIMERICK","CO CLARE",61927288,14,19,33
"CLARE","16186G","INCH N S","ENNIS","CO CLARE",656839353,64,66,130
"CLARE","16677C","BUNSCOIL NA MBRAITHRE","ENNIS","CO CLARE",656822150,289,306,595
"CLARE","16908S","SIXMILEBRIDGE N S","ENNIS","CO CLARE",61369544,176,199,375
"CLARE","16930L","SCOIL AN SRAITH  S N","TULACH BRACH","CILL ROIS",659055295,12,13,25
"CLARE","16946D","SN AN PHAIRTIN MIXED","PARTEEN","CO LIMERICK",61340457,134,168,302
"CLARE","17020A","QUILTY NS","QUILTY","ENNIS",657087250,15,27,42
"CLARE","17026M","CLARECASTLE NATIONAL SCHOOL","INIS","CO CLARE",656828274,180,177,357
"CLARE","17246D","S N CLUAIN AN ATHA","EIDHNEACH","INIS",656836916,19,13,32
"CLARE","17270A","S N COLM CILLE","INIS DIOMAIN","CO CLARE",657071949,20,18,38
"CLARE","17517I","DOOLIN MIXED N S","ENNIS","CO CLARE",657074403,40,40,80
"CLARE","17563P","OGONNELLOE N S","OGONNELLOE","TUAMGRANEY",61923144,48,56,104
"CLARE","17583V","S N CNOC AN EIN","INIS","CO CLARE",656840088,149,132,281
"CLARE","17633K","S N EOIN BAISTE","BALLYVAUGHAN","VIA GALWAY",657077079,33,25,58
"CLARE","17687K","S N TULACH CRUINN","CILL RUIS","CO CLARE",659050488,12,7,19
"CLARE","17801F","S N NA MAIGHDINE MUIRE","BROADFORD","CO CLARE",61473353,45,47,92
"CLARE","17816S","COORACLARE B N S","CILL ROIS","CO CLARE",659059169,50,56,106
"CLARE","17832Q","KILNABOY N S","ENNIS","CO CLARE",656837702,45,38,83
"CLARE","17847G","S N AIBHISTIN NAOFA","CILL SEANAIGH","INIS",657071344,15,14,29
"CLARE","17898A","S N IOSEP NAOFA","BROADFORD","VIA LIMERICK",61473393,8,6,14
"CLARE","17957N","ENNIS CONVENT INF N S","ENNIS","CO CLARE",656829808,129,109,238
"CLARE","18032M","S N CLUAIN MUINGE","CLONMONEY","NEWMARKET-ON-FERGUS",61362672,58,72,130
"CLARE","18109V","S N INIS CEALTRACH","MOUNTSHANNON","CO. CLARE",61927299,36,40,76
"CLARE","18168O","S N AN CHRIOCH","AN CHRIOCH","CO AN CHLAIR",659059384,18,24,42
"CLARE","18190H","S N CRONAIN NFA AN CARN","INIS","CO CLARE",657089201,15,12,27
"CLARE","18225A","S N MHUIRE MILIUC","LUIMNEACH","CO LUIMNI",61327088,71,74,145
"CLARE","18227E","SCOIL MHUIRE NAISIUNTA","CORA  FINNE","CO AN CHLAIR",656837302,74,73,147
"CLARE","18327I","S N CNOC DOIRE","COORACLARE","KILRUSH",659052379,17,15,32
"CLARE","18339P","SN IOSEF NAOFA","AN MHAIGH","LEACHT UI CHONCHUBHAIR",657081553,7,10,17
"CLARE","18359V","S N CUAN","CILL BEATHACH","INIS",659058212,16,18,34
"CLARE","18410S","S N LIOSCEANUIR","INIS","CO CLARE",657081838,34,50,84
"CLARE","18467B","S N BAILE AN DROICHID","OBRIENS BRIDGE","LIMERICK",61377836,51,58,109
"CLARE","18526O","BALLYCAR N S","NEWMARKET ON FERGUS","CO CLARE",61368852,35,28,63
"CLARE","18540I","CLUAIN DRAIGNEACH","CLUAIN DRAIGHNEACH","LIOS UI CHATASAI",656834164,4,15,19
"CLARE","18541K","S N CATHAIR AODHA","LISSYCASEY","ENNIS",656834029,13,19,32
"CLARE","18555V","LISSYCASEY N S","ENNIS","CO CLARE",656834454,64,55,119
"CLARE","18565B","S N MA SHEASTA","MOYASTA","CO CLARE",659051551,13,18,31
"CLARE","18624O","MERCY CONVENT KILLALOE","KILLALOE","CO CLARE",61376861,108,0,108
"CLARE","18630J","CARRIGAHOLT MIXED N S","CARRIGAHOLT","ENNIS",659058270,10,12,22
"CLARE","18639E","S N BAILE NA CAILLI","ENNIS","CO CLARE",656832533,56,47,103
"CLARE","18696Q","S N DUBH RATH","CAISLEAN AN CHLAR","CO CLARE",656829636,39,44,83
"CLARE","18720K","MILTOWN MALBAY B N S","MILTOWN MALBAY","CO CLARE",657084414,65,57,122
"CLARE","18739I","SHANNON AIRPORT 1 N S","SHANNON AIRPORT","CO CLARE",61472005,64,57,121
"CLARE","18740Q","SHANNON AIRPORT NO 2 NS","SHANNON AIRPORT","CO CLARE",61471485,10,16,26
"CLARE","18753C","SAINT MARYS N S LAHINCH","INIS","CO CLARE",657081844,82,68,150
"CLARE","18768P","FORGLEANN N S","FORGLEANN","LEACHT UI CHONCHUIR",657071979,16,19,35
"CLARE","18846J","AN DAINGIN","TULLA","ENNIS",656835590,9,18,27
"CLARE","18950E","S N DROIMAN DUDHAIRE","CAHER","VIA LIMERICK",61925149,9,15,24
"CLARE","19043W","NEW QUAY NS","BURREN","CO CLARE",657078188,27,22,49
"CLARE","19274S","ST CONAIRES NS","SHANNON","CO CLARE",61364694,265,259,524
"CLARE","19338S","FLAGMOUNT CENTRAL NS","FLAGMOUNT CENTRAL NS","FLAGMOUNT",61925177,38,29,67
"CLARE","19366A","SCARIFF CENTRAL N S","SCARIFF","CO CLARE",61921481,86,79,165
"CLARE","19386G","LABASHEEDA CENTRAL N S","LABASHEEDA","CO CLARE",656826063,13,19,32
"CLARE","19442N","RUAN CENTRAL NS","RUAN","ENNIS",656837301,48,41,89
"CLARE","19551S","INCHICRONAN CENTRAL NS","CRUSHEEN","CO CLARE",656827183,56,52,108
"CLARE","19552U","NAOMH TOLA","SHANNON","CO CLARE",61362894,121,117,238
"CLARE","19559L","CHRIOST RI","CLOUGHLEIGH","ENNIS",656820105,133,122,255
"CLARE","19698C","ST AIDANS NS","SMITHSTOWN","SHANNON",61363147,131,136,267
"CLARE","19700J","LISDOONVARNA N S","LISDOONVARNA","CO CLARE",657074231,54,51,105
"CLARE","19838P","GAEL SC MHICHIL CHIOSOG","INIS","CO AN CHLAIR",656821220,135,99,234
"CLARE","19849U","GAELSCOIL DONNCHA RUA","SIONNA","CO AN CHLAIR",61363165,46,24,70
"CLARE","19999Q","GAELSCOIL UI CHOIMIN","AN T-IONAD OIGE","CILL ROIS",659052791,40,40,80
"CLARE","20041C","CONVENT OF MERCY NATIONAL SCHOOL","KILRUSH","CO CLARE",659051792,140,145,285
"CLARE","20075T","ST MOCHULLAS N.S.","ENNIS ROAD","TULLA",656835840,141,128,269
"CLARE","20078C","SN REALT NA MARA","CHAPEL ST","KILKEE",659056583,60,48,108
"CLARE","20086B","ENNIS EDUCATE TOGETHER NS","GORT ROAD","ENNIS",656820070,90,97,187
"CLARE","20127M","SCOIL NA MAIGHDINE MHUIRE","CORA CHAITHLIN","INIS",61368333,100,82,182
"CLARE","20149W","ST FACHNAN & ST ATTRACTAS N S","KILFENORA","CO CLARE",657088217,31,27,58
"CLARE","20245S","Ennistymon National School","Ennistymon","Co. Clare",,64,77,141
"CLARE","20312H","Raheen Wood Steiner School","Tuamgraney","Co Clare",,53,38,91
"CLARE","20313J","Mol an Oige","Ennistoymon","Clare",,54,49,103
"CORK CITY","01197D","STRAWBERRY HILL B N S","SUNDAYS WELL","CORK",214308119,0,154,154
"CORK CITY","02707F","SUNDAYS WELL G N S","CORK","CO CORK",214396632,147,0,147
"CORK CITY","05940D","SCOIL URSULA","BLACKROCK","CO CORK",214358476,112,38,150
"CORK CITY","12203G","S N NAOMH ANTAINE","BALLINLOUGH","CORK",214291958,0,817,817
"CORK CITY","12473M","GREENMOUNT MONASTERY NS","SCOIL MUIRE NA NGRAS","GREENMOUNT",214966242,115,172,287
"CORK CITY","13648D","ST LUKES MXD N S","MAHONYS AVE","CORK",214503686,40,43,83
"CORK CITY","13696O","ST VINCENTS CONVENT N S","ST MARYS ROAD","CORK",214306909,304,72,376
"CORK CITY","13980L","S N B TOGHER CORK","TOGHER","CORK",214964640,0,294,294
"CORK CITY","14000C","SCOIL NAOMH MHUIRE","N MHUIRE AN OILEAIN","Bishop Street",214963994,102,16,118
"CORK CITY","14198D","NAOMH EOIN EASPAL","MAYFIELD","CO CORK",214505716,0,187,187
"CORK CITY","15781P","BALLINTEMPLE N S","BALLINTEMPLE N S","CRAB LANE",214293608,86,128,214
"CORK CITY","16339F","S N IOSEF NAOFA","MARDYKE","CORK",214274549,0,235,235
"CORK CITY","16680O","SCOIL COLMCILLE","BLARNEY ST","CORK",214397000,0,185,185
"CORK CITY","17024I","SCOIL NA CROISE NAOFA","MAHON","CORK",214357852,70,154,224
"CORK CITY","17045Q","ST PATRICKS B N S","BALLYHOOLEY ROAD","CORK",214502024,0,231,231
"CORK CITY","17066B","CHRIST KING MON","TURNERS CROSS","CORK",214963629,0,400,400
"CORK CITY","17067D","CHRIST KING GIRLS PRIMARY SCHOOL","TURNER'S CROSS","CORK",214963695,207,0,207
"CORK CITY","17105I","MUIRE GAN SMAL C","GLASHEEN","CORK",214542294,209,0,209
"CORK CITY","17313P","OUR LADY OF LOURDES","BALLINLOUGH","CORK",214963616,264,0,264
"CORK CITY","17993R","SCOIL MHUIRE GAN SMAL B","GLASHEEN","CORK",214544750,0,286,286
"CORK CITY","18153B","S N PADRAIG NAOFA C","DILLONS CROSS","CORK",214509246,251,0,251
"CORK CITY","18154D","S N PADRAIG NAOFA","DILLONS CROSS","CORK",214551593,81,61,142
"CORK CITY","18217B","SCOIL PADRE PIO N S","CHURCHFIELD","CORK CITY",214302045,112,111,223
"CORK CITY","18237H","MARIA ASSUMPTA G N S","BALLYPHEHANE","CORK",214315724,175,0,175
"CORK CITY","18238J","MARIA ASSUMPTA JNR INFT","BALLYPHEHANE","CORK",214315857,74,0,74
"CORK CITY","18253F","SCOIL NAOMH CAITRIONA","MODEL FARM ROAD","CORCAIGH",214546868,314,7,321
"CORK CITY","18292P","GAELSCOIL AN TEAGHLAIGH NAOFA","BAILE FEITHEAN","CO CHORCAI",214311473,103,117,220
"CORK CITY","18356P","S N BARRA NAOFA","SCOIL BHARRA","SRAID GILLABBEY",214314009,44,40,84
"CORK CITY","18388F","SCOIL NAOMH MICHEAL","CHURCH ROAD","BLACKROCK",214358140,14,18,32
"CORK CITY","18563U","SCOIL NAOMH BRID C","EGLANTINE HOUSE","BALLINLOUGH",214295551,609,0,609
"CORK CITY","18566D","S N ATHAIR MAITIU C","AN TOCHAIR","CORCAIGH",214964923,280,0,280
"CORK CITY","18587L","SCOIL MHUIRE BANRION","MAYFIELD","CORK",214503003,233,0,233
"CORK CITY","18734V","REALT NA MAIDINE","BALLYPHEHANE","CORK",214962696,0,106,106
"CORK CITY","18786R","SCOIL IOSAGAIN","FARRANREE","CORK",214303302,0,457,457
"CORK CITY","19000E","S N AN SPIORAID NAOMH C","CURRAHEEN RD","BISHOPSTOWN",214543305,254,0,254
"CORK CITY","19231A","S N BARRA NAOFA BHUACH","BEAUMOUNT","CORK",214293387,0,275,275
"CORK CITY","19232C","S N BARRA NAOFA CAILINI","BEAUMONT","CORK",214364364,254,0,254
"CORK CITY","19426P","S N MHARCUIS B","AN GLEANN","CORCAIGH",214506225,0,81,81
