Campus,Researcher Name,School,Department,Fund,Year Received,Date Received,Title,Total Award,Detailed Sponsor Name,Agency,Category
UCI,"Porter, John",Calit2,Calit2,23071,,40249,Near-Net Shape Farbrication of Titanium Aluminide by Electron Beam Melting,356459,,DOD,Admin
UCI,"Valdevit, Lorenzo",Engineering ,MAE,21383,,40269,MRI-R2: Acquisition of a Structural Dynamics and Surface Characterization System for Research and Educational Activities on Micro-scale Structures and Devices,449362,,NSF,Admin
UCI,"Butts, Carter",Social Sci,Sociology,21586,,40452,"Collaborative Research:  Informal Online Communication in Extreme Events:  Content, Dynamics, and Structure",309679,,NSF,Admin
UCI,"Kim, Kane",HSSOE,EECS,25366,2001,36894,Time-Based Coordination of Networked Embedded Nodes,1905557,,DOD  ,Cost Share
UCI,"Chen, Zhongping",HSSOE,BME,29127,2002,37264,Optical Biopsy Using MEMS Technology,2700000,,NIH,Cost Share
UCI,"Potkin, Steven",Medicine,Psychiat,24887,2002,37266,Functional Imaging Research in Schizophrenia Testbeds  (FIRST) - BIRN,12108672,,NIH,Cost Share
UCI,"Hutchinson, Tara",HSSOE,CEE,21716,2002,37271,Expanding Engineering Thinking:  Interactive Visualization of Numerical Models,459200,,NSF,Cost Share
UCI,"Burke, Peter",HSSOE,EECS,21718,2002,37279,Acquisition of an Electron Beam Lithography System for a Nanotechnology Research and Education Facility at UC Irvine,357810,,NSF,Cost Share
UCI,"Baldi, Pierre",BICS,CS,21796,2003,37640,Acquisition of Cluster and Server for Computational Biology,269989,,NSF,Cost Share
UCI,"Lathrop, Richard",BICS,CS,21784,2003,37641,ITR: Information Technology for Self-Assembling Synthetic Genes,1165000,,NSF,Cost Share
UCI,"El Zarki, Magda",BICS,CS,21857,2004,37996,An IT Infrastructure for Responding to the Unexpected,1033268,,NSF,Cost Share
UCI,"Rentzepis, Peter",Phys Sci,Chem,21530,2000,36526,Development of a Table Top Experimental System for Time-Resolved Femtosecond to Nanosecond X-Ray Diffraction & EXAFS in Solids and Liquids,395941,,NSF,Other Support
UCI,"Lee, Henry",HSSOE,EECS,21797,2003,37637,SENSORS: The Exploration of Novel All-Purpose All-Fiber Spectrometer Module for Scalable and Distributed Optical Fiber Sensor Systems,500001,,NSF,Other Support
UCI,"Fernandez, Nohema",Arts,Music,23152,2004,37991,Alt+Ctrl,20000,,NEA,Other Support
UCI,"Allbritton, Nancy",Medicine,Medicine,23822,,39173,Micropallet Arrays for Separation of Single Cells and Colonies,449995,,NIH,Other Support
UCI,"Venugopalan, Vasan",Engineering ,ChemMS,78510,,39264,An Automated Platform for Kinase Assays on Patients' Cells,448509,,NIH,Other Support
UCI,"Collins, Philip",Phys Sci,Physics,21189,,39326,In Situ Characterization of a Single Catalytic Nanoparticle,300000,,NSF,Other Support
UCI,"Li, Chen",ICS,CompSci,21999,,39326,SGER:  Answering Approximate String Queries Using Variable-Length Grams,99507,,NSF,Other Support
UCI,"Patterson, Donald",ICS,Informatics,21196,,39326,HCC:  Computing Place Context,449765,,NSF,Other Support
UCI,"Collins, Philip",Phys Sci,Physics,21255,,39569,Electronic Fluctuation and Localization at Point Defects,337000,,NSF,Other Support
UCI,"Sanders, Brett",Engineering ,CEE,21266,,39661,Data Integration and Model Development to Mitigate Urban Flooding Hazards Linked to Sea Level Rise,373003,,NSF,Other Support
UCI,"Weiss, Gregory",Phys Sci,Chemistry,29323,,39692,Single Molecule Enzymology with Carbon Nanocircuits,1204870,,NIH,Other Support
UCI,"Li, Chen",ICS,CompSci,21314,,39859,Supporting Efficient Fuzzy Queries on Large Text Repositories Using Hadoop,221730,,NSF,Other Support
UCI,"Law, Matthew D.",Phys Sci,Chemistry,78829,,40205,The Center for Advanced Solar Photophysics,945000,,DOE,Other Support
UCI,"Mark, Gloria",ICS,Informatics,21613,,40617,RAPID: Citizen Use of Social Media in the Egyptian Uprising,50000,,NSF,Other Support
UCI,"Kim, Kwang  H.   (Kane)",HSSOE,EECS,21558,2000,36527,RONEE: An Integrated Engineering Method and Tool Environment for Reliable Object-Oriented Real-Time Distributed Systems,700000,,NSF,PI Permission
UCI,"Kurdahi, Fadi",HSSOE,EECS,21550,2000,36528,Synthesis of Adaptive Mission-Specific Processors,505998,,NSF,PI Permission
UCI,"Suda, Tatsuya",BICS,CS,21546,2000,36529,"The Bio-Networking Architecture:  A Biologically Inspired Approach to the Design of Scalable, Adaptive and Survivable/Available Network Apps",533838,,NSF,PI Permission
UCI,"Scacchi, Walt",ISR,ISR,21545,2000,36531,"Understanding Open Software Communities, Processes, and Practices:  A Socio-Technical Approach",494133,,NSF,PI Permission
UCI,"Kraemer, Kenneth",PMSB,PMSB,21554,2000,36532,"ITR: Globalization, Electronic Commerce, and Social Impacts: The Influence of National Environments on Diffusion and Impacts of the Internet",1820002,,NSF,PI Permission
UCI,"Li, Guann P",HSSOE,EECS,25960,2001,36893,Test and Metrology of Biological Fluids in Polymer Micro Fluidic Systems,1026059,,DOD,PI Permission
UCI,"Gupta, Rajesh",BICS,ICS,21585,2001,36895,Constrained Power and Performance Optimization for Embedded Systems,63169,,NSF,PI Permission
UCI,"Smyth, Padhraic",BICS,CS,21638,2001,36896,Data Mining of Digital Behavior,1550570,,NSF,PI Permission
UCI,"Hutchinson, Tara",HSSOE,CEE,59228,2002,37257,Vision-Based Motion Tracking for Risk Assessment During Seismic Events,80000,,NSF,PI Permission
UCI,"Feng, Maria",HSSOE,CEE,23014,2002,37258,Sensor Suits For Human Motion Detection,561550,,DOD,PI Permission
UCI,"Burke, Peter",HSSOE,EECS,23017,2002,37259,High-Frequency Plasma Wave Devices Based on Semiconductors and Nanotubes,434454,,DOD,PI Permission
UCI,"Burke, Peter",HSSOE,EECS,23064,2002,37260,Quantum Information and Noise Studies With Semiconductor Nano-Devices,300000,,DOD,PI Permission
UCI,"Tsudik, Gene",BICS,CS,78296,2002,37261,Efficient and Scalable Infrastructure Support for Dynamic Coalitions,227893,,DOD,PI Permission
UCI,"Venkatasubramanian, Nalini",BICS,CS,78530,2002,37262,A Logical Framework for Adaptive System Interoperability,442416,,DOD,PI Permission
UCI,"Mark, Gloria",BICS,Inf,78310,2002,37263,Exploring Distributed Collaborative Design Teaming,249898,,NASA,PI Permission
UCI,"Baldi, Pierre",BICS,Inf,24007,2002,37265,Biomedical Informatics Training Program,4653113,,NIH,PI Permission
UCI,"Regan, Amelia C",HSSOE,CS,21636,2002,37268,Dynamic and Stochastic Vehicle Dispatching with Time-Dependent Travel Times:  The Next Generation of Algorithms,100000,,NSF,PI Permission
UCI,"Mehrotra, Sharad",BICS,CS,21727,2002,37270,ITR: Privacy in a Database-As-A-Service Model,429897,,NSF,PI Permission
UCI,"Jordan, Scott",HSSOE,EECS,21731,2002,37272,Collaborative Research: A Hybrid Systems Approach to Resource Allocation for Multimedia Wireless Networks,234311,,NSF,PI Permission
UCI,"Kim, Kane",HSSOE,EECS,21694,2002,37273,Next Generation Software:  Scalable Real-Time Simulation of Embedded Systems and Environments,623000,,NSF,PI Permission
UCI,"Lu, Jia Grace",HSSOE,ChEMS,21739,2002,37275,"CAREER: Single Spin Transistors - Science, Application and Education",362544,,NSF,PI Permission
UCI,"Scacchi, Walt",ISR,ISR,21705,2002,37277,"ITR: Collaborative Research: Organizational Dynamics of Software Problems, Bugs, Failures, and Repairs",746927,,NSF,PI Permission
UCI,"Taylor, Richard",BICS,Inf,21706,2002,37278,"ITR: An Integrated Social and Technical Approach to the Development of Distributed, Inter-Organizational Applications",1890900,,NSF,PI Permission
UCI,"Lu, Jia Grace",HSSOE,ChEMS,21755,2002,37280,NIRT: Collaborative Research: Spin Transport and Dynamics in Nanoscale Hybrid Structures,917918,,NSF,PI Permission
UCI,"El Zarki, Magda",BICS,CS,26446,2002,37281,ITR:  Collaborative Research:  An Integrated Framework for Health Monitoring of Highway Bridges and Civil Infrastructure,484000,,NSF                                    through Washington University of St. Louis,PI Permission
UCI,"Burke, Peter",HSSOE,EECS,23107,2003,37622,GHz Nano-Resonators Based on Single-Walled Carbon Nanotubes,299981,,DOD,PI Permission
UCI,"Mark, Gloria",BICS,Inf,78309,2003,37624,Complex Requirements Analysis:  Modeling the New Millenium Process,41387,,NASA,PI Permission
UCI,"Hutchinson, Tara",HSSOE,CEE,21801,2003,37628,Performance and Tacking of Nonstructural Systems in a Full-Scale Building,59738,,NSF,PI Permission
UCI,"Goodrich, Michael",BICS,CS,21768,2003,37631,Collaborative Research:  An Algorithmic Approach to Cyber-Security,100000,,NSF,PI Permission
UCI,"Jafarkhani, Hamid",HSSOE,EECS,21737,2003,37632,"CAREER: Coding for Multiple-Input, Multiple-Output Channels",400006,,NSF,PI Permission
UCI,"Goodrich, Michael",BICS,CS,21778,2003,37634,ITR:  Algorithms for the Technology of Trust,300000,,NSF,PI Permission
UCI,"Green, Michael",HSSOE,EECS,21762,2003,37636,Novel Speed CMOS Circuit Design Techniques for Multi-Gb/s Broadband Communications Circuits,270000,,NSF,PI Permission
UCI,"Collins, Philip",Phys Sci,Physics,21742,2003,37642,"CAREER:  Electronic, Chemical, and Mechanical Interactions at the Nanometer and Single-Molecule Scale",270000,,NSF,PI Permission
UCI,"Lu, Jia Grace",HSSOE,ChEMS,78608,2003,37643,NIRT:  Electrical and Mechanical Properties of Boron and Metal-Boride Nanowires and Nanoscal Devices Built from Them,283469,,NSF,PI Permission
UCI,"Mark, Gloria",BICS,Inf,78629,2003,37644,Investigating Interact Technologies for Collaboration,134096,,NSF,PI Permission
UCI,"Meyer, Joerg",HSSOE,EECS,26420,2003,37645,Interactive Web-Based Volume Rendering Using Hierarchical Data Representations,140000,,NSF,PI Permission
UCI,"Jafarkhani, Hamid",HSSOE,EECS,25537,2004,37988,Space-Time Processes for Tactical Ad-Hoc Mobile Wireless Networks,326596,,DOD,PI Permission
UCI,"Smyth, Padhraic",BICS,CS,25003,2004,37989,Studies of Regional-Scale Climate Variability and Change: Hidden Markov Models and Coupled Ocean-Atmosphere Modes with a Climate Modeling Hierarchy,88488,,DOE,PI Permission
UCI,"Burke, Peter",HSSOE,EECS,21843,2004,37994,NER: Electron Spin Resonance on a Single Carbon Nanotube,100000,,NSF,PI Permission
UCI,"Collins, Philip",Phys Sci,Physics,21869,2004,38000,NIRT: Direct Electronic Sensing of Biomolecular Activity and Signaling,1694997,,NSF,PI Permission
UCI,"Smyth, Padhraic",BICS,Inf,21859,2004,38001,Statistical Data Mining of Time-Dependent Data with Applications in Geoscience and Biology,566644,,NSF,PI Permission
UCI,"Hutchinson, Tara",HSSOE,CEE,21904,2005,38356,Development of Concrete Damage-Flow Rate Correlation using Integrated Structural Testing and X-Ray Tomography,300000,,NSF,PI Permission
UCI,"Heydari, Payam",HSSOE,EECS,21935,2005,38358,Theoretical Development of Passivity-Preserving Variational Balanced Truncation of Linear Systems,100000,,NSF,PI Permission
UCI,"Heydari, Payam",HSSOE,EECS,21888,2005,38360,CAREER: Analysis and Design of Silicon-Based Performance-Optimized Distributed Integrated Circuits for High-Frequency Wideband Wireless Comunication Systems,400000,,NSF,PI Permission
UCI,"Mehrotra, Sharad",BICS,CS,21539,2000,36530,"ITR: Collaborative Research: Real-Time Capture, Management, and Reconstruction of Spatio-Temporal Events",430000,,NSF,Space
UCI,"De Flaviis, Franco",HSSOE,EECS,23106,2001,36892,Full Wave Analysis of Nonlinear Dielectrics at Microwave Frequency for the Analysis and Design of Advanced Communication Systems,199973,,DOD,Space
UCI,"Smyth, Padhraic ",BICS,Inf,21638,2001,36897,Entity-Based Data Mining From Spatio-Temporal .... (Supplement to 0083489), $- ,,NSF,Space
UCI,"Danziger, James",Social Sci,Poli Sci,21642,2001,36898,ITR/PE: The Impacts of IT on Individuals and Their Organizations: Conditions of Change and Transformation,2800000,,NSF,Space
UCI,"Meyer, Joerg",HSSOE,EECS,24857,2002,37267,Informatics of Human and Monkey Brain Atlases,375263,,NIH,Space
UCI,"Shkel, Andrei",HSSOE,MAE,21672,2002,37269,Feasibility Study of Polymer-Based MEMS Low-Frequency Sensing Technology for Health Monitoring of Civil Structures,59949,,NSF,Space
UCI,"Dourish, J Paul",BICS,Inf,21662,2002,37276,CAREER: Integrating CSCW Technology and Practice Using Metalevel Architecture,294665,,NSF,Space
UCI,"Shinozuka, Masanobu",HSSOE,CEE,78623,2003,37623,Urban Damage Assessment Using Remote Sensing Technology and Real-Time Decision Support,65000,,NSF,Space
UCI,"Mjolsness, Eric",BICS,CS,29257,2003,37625,A Signal Transduction Pathway Database/Modeling Systems,1305867,,NIH,Space
UCI,"Madou, Marc",HSSOE,MAE,78616,2003,37626,Bio-Inspired Materials for Sensing and Actuation in Biomedical Applications,121000,,NIH,Space
UCI,"Feng, Maria",HSSOE,CEE,21793,2003,37627,SENSORS:  Novel Optical Fiber Sensors for Civil Engineering Structures,290465,,NSF,Space
UCI,"Shkel, Andrei",HSSOE,MAE,21782,2003,37630,SENSORS:  Broad-Bandwidth High-Resolution MEMS Array of Intertial Sensors with Embedded Optical Transmission,320000,,NSF,Space
UCI,"Kim, Kwang Hae",HSSOE,EECS,21786,2003,37633,ITR:TADE - Timeliness - Assured Design Environment for Distributed Object-Based Embedded Computing,375900,,NSF,Space
UCI,"Burke, Peter",HSSOE,EECS,21749,2003,37635,"Pushing Dielectrophoresis Single Molecule Limit for Applications in Molecular Electronics, Electronically Assisted Chemical Self-Assembly, Nano-Manufacturing and Nano-Biotechnology",209998,,NSF,Space
UCI,"Mjolsness, Eric",BICS,CS,21770,2003,37638,FIBR: Developmental Modeling and Informatics,4939322,,NSF,Space
UCI,"Gurbaxani, Vijay",PMSB,PMSB,21767,2003,37639,Industry/University Cooperative Research Center at the Center for Research on Information Technology and Organizations (CRITO),299097,,NSF,Space
UCI,"Potkin, Steven",Medicine,Psychiat,29277,2004,37992,Transdisciplinary Imaging Genetics Center,1673332,,NIH,Space
UCI,"Shkel, Andrei",HSSOE,MAE,21830,2004,37993,A Class of Distributed-Mass Micromechanical Gyroscopes,260000,,NSF,Space
UCI,"Ayanoglu, Ender",HSSOE,EECS,21864,2004,37995,Collaborative Research: NeTS - ProWiN: Programmable/Versatile Radio Platform for the Wireless Networking Research Community,140000,,NSF,Space
UCI,"Madou, Marc",HSSOE,MAE,21863,2004,37998,SENSORS: C-MEMS-Based Microbattery Arrays for Miniature Sensors,375000,,NSF,Space
UCI,"Jafarkhani, Hamid",HSSOE,EECS,21845,2004,37999,MEMS Reconfigurable Antennas Integrated with Adaptive Space-Time Processing Algorithms for Use in Wireless MIMO Systems,209999,,NSF,Space
UCI,"Zender, Charles",Phys Sci,ESS,21862,2004,38002,SEI (GEO): Scientific Data Operators Optimized for Distributed Interactive and Batch Analysis of Tera-Scale Geophysical Data,594386,,NSF,Space
UCI,"Allbritton, Nancy",Bio Sci,Physiol,23661,2005,38353,Rapid Analysis of Signaling in Adherent Cells,358800,,NIH,Space
UCI,"Mukamel, Shaul",Phys Sci,Chem,21931,2005,38354,Chemistry at the Space-Time Limit: Time-Resolved Nonlinear Spectroscopy of Elementary Chemical Events,1500000,,NSF,Space
UCI,"Feng, Maria",HSSOE,CEE,21921,2005,38355,Collaborative Research: A Novel Video-Assisted Integrated Approach for Enhancing Bridge Health Monitoring ,108800,,NSF,Space
UCI,"Shkel, Andrei",HSSOE,MAE,21876,2005,38357,CAREER:  A MEMS-Based Electronic Prosthesis Mimicking the Dynamic Vestibular Function,400000,,NSF,Space
UCI,"Kim, Kwang Hae",HSSOE,EECS,21934,2005,38359,Collaborative Research: CT-T: Security and Survivability of Real-Time Systems with MANETs,150000,,NSF,Space
UCI,"Scacchi, Walt",ISR,ISR,21964,2006,38721,"Discovering the Processes, Practices, Community Dynamics, and Principles for Developing Open Source Software Systems",115999,,NSF,Space
UCI,"Li, G.P.",Engineering ,EECS,21984,,38913,IGERT: Life Chip,2894565,,NSF,Space
UCI,"Sorooshian, Soroosh",Engineering ,CEE,23367,,38937,The Challenges of Utilizing Satellite Precipitation Data for Hydrologic Applications,1200000,,NASA,Space
UCI,"Lee, Abraham",Engineering,Biomed,24908,,38973,Micro/Nano Fluidics Fundamentals Focus (MF3) Center,4335000,,DOD,Space
UCI,"Feng, Maria",Engineering ,CEE,25532,,38992,Ceramic-Based Ballistic Protective Inserts With Self-Inspection Capability,365700,,DOD,Space
UCI,"Eltawil, Ahmed",Engineering ,EECS,26004,,39022,"Agile, Multi Antenna Capable SDR Platform for Advanced Public Safety Communications",1078634,,Dept of Justice,Space
UCI,"Lee, Abraham",Engineering ,Biomed,23669,,39114,Microfluidics Systems for Formulation of Contrast Agents for Molecular Imaging,134953,,NIH,Space
UCI,"Tomlinson, William",ICS,Informatics,21145,,39173,CAREER:  An Agent-Based Approach to Human-Computer Interaction for Systems of Collocated Devices,519722,,NSF,Space
UCI,"Tsai, Chen",Engineering ,EECS,23986,,39188,MEMS-Based Miniaturized HIgh-Frequency Ultrasonic Nozzles for Medical Applications,373551,,NIH,Space
UCI,"Burke, Peter",Engineering ,EECS,78301,,39234,Single Electron Readout Electronics for Quantum Dot THz Camera,50000,,DOD,Space
UCI,"Swindlehurst, A. Lee",Engineering ,EECS,26701,,39234,ARSENAL: A Cross-Layer Architecture for Secure Resilient Tactical Mobile Ad-Hoc Networks,350000,,DOD,Space
UCI,"Baldi, Pierre",ICS,CompSci,24084,,39264,Biomedical Informatics Training Program,6617746,,NIH,Space
UCI,"Li, G.P.",Engineering ,EECS,78189,,39264,Zero-Power RFID Sensing Tags,50000,,NSF,Space
UCI,"Mumm, Daniel",Engineering ,ChemMS,21140,,39264,CAREER: Dynamics of Interfaces in Electrochemical Ceramic Systems,400000,,NSF,Space
UCI,"Feng, Maria",Engineering ,CEE,25539,,39300,Fiber Composite Integrity Testing and Evaluation for Upgrade ACH and SXAPI,5500000,,DOD,Space
UCI,"Madou, Marc",Engineering ,MAE,21191,,39326,NIRT: C-MEMS/C-NEMS for Miniature Biofuel Cells,1039655,,NSF,Space
UCI,"Majumder, Aditi",ICS,CompSci,21207,,39326,SGER: Analysis of Solution Space to Achieve Ubiquitous Pixels,70202,,NSF,Space
UCI,"Scacchi, Walt",ISR,ISR,23052,,39330,Governance Practices and Processes in Open Source Software Development Projects,95000,,DOD,Space
UCI,"Lee, Charlotte",ICS,Informatics,21212,,39340,HCC:  Collaboration in the Development of Cyberinfrastructure,157217,,NSF,Space
UCI,"Scacchi, Walt",ISR,ISR,21211,,39340,A Workshop to Establish National and International Research Infrastructures for Multidisciplinary Empirical Science of Free/Open Source Software,30000,,NSF,Space
UCI,"Swindlehurst, A. Lee",Engineering ,EECS,78092,,39342,Information Technology Research (ITR) Distributed Communications and Control for Multiple Miniature Unmanned Air Vehicles,195976,,NSF,Space
UCI,"Demsky, Brian",Engineering ,EECS,21183,,39356,Collaborative Research: Applying Hardware - Inspired Methods for Multi-Core Software Design,461997,,NSF,Space
UCI,"Scacchi, Walt",ISR,ISR,23051,,39434,Investigating the Acquisition and Requirements for Software Systems that Rely on Open Architecture and Open Source Software,106085,,DOD,Space
UCI,"Feng, Maria",Engineering ,CEE,78120,,39539,Improving the Seismic Resilience of Highway Systems,60000,,DOT,Space
UCI,"Tomlinson, William",ICS,Informatics,21245,,39539,Computational Metaphor Identification for Supporting Creativity in Science Education,200000,,NSF,Space
UCI,"Shkel, Andrei",Engineering ,MAE,25970,,39552,Feasibility Study of MEMS Gyro Technology for Precision Gyro-Compassing Azimuth Sensing Systems,156190,,DOD,Space
UCI,"Smyth, Padhraic",ICS,CompSci,23055,,39576,Scalable Methods for the Analysis of Network-Based Data,3358578,,DOD,Space
UCI,"Nelson, Edward",Medicine,Medicine,29346,,39629,Application of a Novel Nanotechnology for Molecular Profiling of Tumor Cellular Elements,335916,,NIH,Space
UCI,"Nelson, Edward",Medicine,Medicine,22972,,39630,A Novel Nanotechnology to Analyze Human Breast Tumor Cellular Subsets ,390182,,DOD,Space
UCI,"Mumm, Daniel",Engineering ,ChemMS,23060,,39647,Mechanisms Underpinning the Degradation of Turbine Thermal Barrier Coatings: Effects of Naval Environments and Alternative Fuels,355049,,DOD,Space
UCI,"Jin, Wenlong",Engineering ,CEE,18351,,39661,"Theoretical and Simulation Studies of Information Throughput and Communication Delay of Inter-Vehicle Communication Networks",48971,,DOT,Space
UCI,"Mehrotra, Sharad",ICS,CompSci,21305,,39692,RI-Small: Collaborative Research: Dispatcher's Assistant for Emergency First Response,16500,,NSF,Space
UCI,"Butts, Carter",Social Sci,Sociology,21302,,39722,DHB:  Measurement and Behavioral Dynamics for Spatially Embedded Interpersonal Networks,749245,,NSF,Space
UCI,"Tang, William",Engineering ,Biomed,23063,,39814,Study of Fundamental Limits and Favorable Effect of Scaling to Enable Ultra-High Resulution MEMS Vibratory Gyroscopes,995219,,DOD,Space
UCI,"Lee, Abraham",Engineering ,Biomed,78737,,39814,Novel Technology for the Detection of Low Abundance Proteins,29350,,NIH,Space
UCI,"Scacchi, Walt",ISR,ISR,23061,,39843,Investigating the Acquisition  of  Software Systems That  Rely on Open Architecture and Open Source Software,129997,,DOD,Space
UCI,"Lee, Abraham",Engineering ,Biomed,78746,,39904,Precision Engineering of  Ultrasonically-Targeted Drug Delivery Vehicles,331915,,NIH,Space
UCI,"Lee, Abraham",Engineering ,Biomed,78748,,39912,Adaptive Biological and Chemical Digital (ABCD) Assays in Microfluidic Droplets,42799,,DOE,Space
UCI,"Burke, Peter",Engineering ,EECS,22977,,39995,Nanoscale Imaging Technology for THz Frequency Transmission Microscopy,198592,,DOD,Space
UCI,"Sorooshian, Soroosh",Engineering ,CEE,23206,,39995,Enhancing California's Water Resource Decision Support System for Climate Change,400000,,NASA,Space
UCI,"Majumder, Aditi",ICS,CompSci,21334,,39995,CAREER: Ubiquitous Displays Via a Distributed Framework,632046,,NSF,Space
UCI,"Madou, Marc",Engineering ,MAE,78782,,40043,Fractal Electrodes for Lithium Ion Batteries,30043,,DOE,Space
UCI,"Li, G.P.",Engineering ,EECS,78833,,40057,Zero-Power RFID Sensing Tags,250000,,NSF,Space
UCI,"Tomlinson, William",ICS,Informatics,21343,,40057,Narrative-Centered Computing for Childhood Environmental Awareness,280371,,NSF,Space
UCI,"Reinkensmeyer, David",Engineering ,MAE,23409,,40087,A Robotic Powered Wheelchair Trainer With Haptic Guidance as needed,200000,,Dept of Education ,Space
UCI,"Mehrotra, Sharad",ICS,CompSci,60166,,40099,Workshop on Incident Management November 2009,49320,,DHS,Space
UCI,"Reinkensmeyer, David",Engineering ,MAE,29428,,40249,Determinants of Effectiveness of Robot-Assisted Hand Movement Training after Stroke,1544374,,NIH,Space
UCI,"Burke, Peter",Engineering ,EECS,29333,,40252,"Nanoelectrode Arrays for Study of the Molecular Mechanisms, Triggers, and Inhibitors of Apoptosis",642495,,NIH,Space
UCI,"Markopoulou, Athina",Engineering ,EECS,21528,,40299,Student Travel Support for the INFOCOM 2010 Conference,25000,,NSF,Space
UCI,"Boyraz, Ozdal",Engineering,EECS,23077,,40357,Photonic Integrated Circuits for Optical Signal Processing at Mid-Infrared,149970,,DOD,Space
UCI,"Lee, Abraham",Engineering,Biomed,23057,,40358,Micro/Nano Fluidics Fundamentals Focus (MF3) Center,1030859,,DOD,Space
UCI,"Madou, Marc",Engineering ,MAE,78953,,40360,Point of Care Microfluidic Diagnosis System for Rapid and Sensitive Detection of Viral Respiratory Tract Infections,209231,,NIH,Space
UCI,"Markopoulou, Athina",Engineering ,EECS,22521,,40391,NetSense: Optimizing Network Configuration for Sensing,584687,,DOD,Space
UCI,"Mumm, Daniel",Engineering ,ChemMS,22424,,40422,"Mechanisms Underpinning Degradation of Protective Oxides and Thermal Barrier Coating Systems in HHC-Fueled Turbines",500000,,DOE,Space
UCI,"Li, Chen",ICS,CompSci,29030,,40451,"Improving PubMed by Fast, Interactive Searcch",232490,,NIH,Space
UCI,"Brouillette, Liane",Education,Education,18209,,40452,"The Teaching Artist Project, Grades 3-5",1000000,,Dept of Education,Space
UCI,"Jafarkhani, Hamid",Engineering ,EECS,21522,,40452,CIF: Medium: Interference Alignment and the Rate-Reliability Tradeoff of Wireless Netwosr,825115,,NSF,Space
UCI,"Butts, Carter",Social Sci,Sociology,78407,,38975,"AOC: Improvisation in Emergency Response:  Linking Cognition, Behavior, and Social Interaction",250012,,NSF ,Space
